alpha,reach_resnet,reach_vit,paired_reach,mean_td_resnet_paired,mean_td_vit_paired,td_gap_paired (R-V),cohens_d_paired,n_paired,n_total
0.5,0.988,0.636,0.626,0.024189867640346873,0.20679639848968925,-0.1826065308493424,0.9014083963329861,313,500
0.51,0.988,0.628,0.618,0.024503005085529352,0.20829655781112094,-0.18379355272559159,0.9068449818594372,309,500
0.52,0.988,0.616,0.606,0.02498821310702499,0.20672067206720673,-0.18173245896018175,0.8973218759737243,303,500
0.53,0.988,0.612,0.602,0.025628856193640245,0.20507399577167018,-0.17944513957802993,0.8913827258481716,301,500
0.54,0.986,0.606,0.594,0.026455026455026457,0.21212121212121213,-0.18566618566618567,0.9021296075955534,297,500
0.55,0.984,0.6,0.59,0.024213075060532687,0.2098613251155624,-0.18564825005502972,0.9145834669735052,295,500
0.56,0.984,0.594,0.584,0.023972602739726026,0.21544209215442095,-0.19146948941469494,0.9259990082452593,292,500
0.57,0.982,0.59,0.58,0.02413793103448276,0.21661442006269593,-0.19247648902821318,0.9236365893168841,290,500
0.58,0.978,0.574,0.564,0.025835866261398176,0.21598968407479044,-0.19015381781339227,0.9050476659320487,282,500
0.59,0.976,0.564,0.554,0.027333677153171733,0.21299638989169675,-0.18566271273852503,0.8846794559338338,277,500
0.6,0.976,0.558,0.55,0.02909090909090909,0.21355371900826448,-0.1844628099173554,0.8803778431101996,275,500
0.61,0.974,0.554,0.544,0.028886554621848734,0.21624331550802137,-0.18735676088617265,0.8915053479901034,272,500
0.62,0.974,0.548,0.538,0.03027084439723845,0.22440013518080434,-0.1941292907835659,0.9131818400687063,269,500
0.63,0.97,0.546,0.534,0.029427501337613692,0.2236976506639428,-0.1942701493263291,0.915861577768878,267,500
0.64,0.97,0.542,0.53,0.029649595687331533,0.22264150943396227,-0.19299191374663074,0.9087626784379569,265,500
0.65,0.97,0.528,0.516,0.029346622369878183,0.21670190274841436,-0.1873552803785362,0.8885451887748096,258,500
0.66,0.97,0.526,0.514,0.029460811561978877,0.2186062964273081,-0.18914548486532923,0.8967818358498179,257,500
0.67,0.97,0.52,0.508,0.030371203599550055,0.2208303507516106,-0.19045914715206053,0.8953740296945049,254,500
0.68,0.97,0.512,0.5,0.030857142857142854,0.22,-0.18914285714285714,0.8937836082873067,250,500
0.69,0.97,0.512,0.5,0.031999999999999994,0.22,-0.188,0.8879282050216816,250,500
0.7,0.97,0.504,0.492,0.033101045296167246,0.21840354767184036,-0.1853025023756731,0.8794191707036794,246,500
0.71,0.97,0.498,0.486,0.03233392122281011,0.2237186681631126,-0.19138474694030247,0.9018135362915191,243,500
0.72,0.968,0.49,0.478,0.029886431560071727,0.22099657664511219,-0.19111014508504046,0.9066561436790778,239,500
0.73,0.968,0.478,0.468,0.029304029304029297,0.22610722610722608,-0.1968031968031968,0.927529930078042,234,500
0.74,0.968,0.476,0.466,0.029429797670141013,0.2298088177916504,-0.2003790201215094,0.9409644486076969,233,500
0.75,0.968,0.472,0.462,0.0303030303030303,0.2365210547028729,-0.2062180243998426,0.964862068305519,231,500
0.76,0.968,0.468,0.458,0.03119151590767311,0.23580786026200873,-0.20461634435433562,0.9579081283717964,229,500
0.77,0.968,0.466,0.456,0.03070175438596491,0.23644338118022326,-0.20574162679425834,0.9662580131808436,228,500
0.78,0.966,0.466,0.456,0.03070175438596491,0.2372408293460925,-0.20653907496012758,0.9696958692170851,228,500
0.79,0.964,0.464,0.454,0.03398363750786658,0.23548257909491388,-0.2014989415870473,0.9370797841987698,227,500
0.8,0.96,0.462,0.45,0.034920634920634915,0.23838383838383836,-0.20346320346320346,0.9459580280888803,225,500
0.81,0.96,0.454,0.442,0.035552682611506146,0.23611682435211842,-0.20056414174061227,0.933152091385826,221,500
0.82,0.96,0.45,0.438,0.0365296803652968,0.23412204234122047,-0.19759236197592367,0.9186441648442771,219,500
0.83,0.96,0.448,0.436,0.03669724770642202,0.23394495412844038,-0.19724770642201836,0.9150004362610737,218,500
0.84,0.96,0.446,0.434,0.03818301514154048,0.2337662337662338,-0.1955832186246933,0.9039025228108263,217,500
0.85,0.958,0.444,0.432,0.03835978835978836,0.23779461279461278,-0.1994348244348244,0.9121820951867624,216,500
0.86,0.956,0.442,0.428,0.038718291054739645,0.23661852166525063,-0.19790023061051099,0.9094346761521349,214,500
0.87,0.954,0.438,0.424,0.03840970350404312,0.233704974271012,-0.19529527076696887,0.9011754885746565,212,500
0.88,0.952,0.43,0.416,0.03708791208791208,0.2303321678321678,-0.19324425574425574,0.8974196652581979,208,500
0.89,0.95,0.43,0.416,0.037774725274725265,0.2303321678321678,-0.19255744255744256,0.8940039725737121,208,500
0.9,0.95,0.424,0.41,0.037630662020905925,0.22572062084257202,-0.1880899588216661,0.8764397153428684,205,500
0.91,0.95,0.42,0.406,0.037297677691766354,0.23107926556202418,-0.19378158787025784,0.8946582505243376,203,500
0.92,0.948,0.414,0.4,0.03714285714285714,0.23136363636363635,-0.1942207792207792,0.9023802748178296,200,500
0.93,0.948,0.412,0.398,0.03732950466618808,0.2293284604842394,-0.19199895581805132,0.8995666444015884,199,500
0.94,0.948,0.41,0.398,0.03732950466618808,0.23252626770214707,-0.19519676303595898,0.9159271884642394,199,500
0.95,0.948,0.406,0.394,0.03625815808556925,0.23119520073834793,-0.19493704265277867,0.921987575257095,197,500
0.96,0.948,0.396,0.386,0.03700962250185048,0.22373999057936886,-0.1867303680775184,0.891429942339492,193,500
0.97,0.948,0.392,0.382,0.03889304412864623,0.22417896239885765,-0.18528591827021143,0.8813133724287943,191,500
0.98,0.948,0.39,0.38,0.03834586466165413,0.22870813397129186,-0.19036226930963773,0.9016083051217822,190,500
0.99,0.946,0.388,0.378,0.03854875283446711,0.2299182299182299,-0.19136947708376278,0.9054313340287943,189,500
