alpha,reach_resnet,reach_vit,common_reach,reach_gap,mean_td_resnet,mean_td_vit,td_gap,cohens_d,n_td_resnet,n_td_vit
0.5,0.988,0.636,0.636,0.352,0.024002313475997683,0.20611778158947971,-0.18211546811348203,0.9977482871173383,494,318
0.51,0.988,0.628,0.628,0.36,0.024002313475997683,0.20758540822235091,-0.18358309474635323,1.0089583408849152,494,314
0.52,0.988,0.616,0.616,0.372,0.024580682475419318,0.20602125147579692,-0.1814405690003776,1.0021000515341132,494,308
0.53,0.988,0.612,0.612,0.376,0.02544823597455176,0.2043969102792632,-0.17894867430471145,0.9945395733277167,494,306
0.54,0.986,0.606,0.606,0.38,0.0257896261953057,0.2106210621062106,-0.1848314359109049,1.0089689172991085,493,303
0.55,0.984,0.6,0.6,0.384,0.02584204413472706,0.20787878787878786,-0.18203674374406079,0.9987189072602314,492,300
0.56,0.984,0.594,0.594,0.39,0.02584204413472706,0.2133455769819406,-0.18750353284721352,1.0137624870615471,492,297
0.57,0.982,0.59,0.59,0.392,0.026185627000290944,0.21448382126348228,-0.18829819426319133,1.0117592518561946,491,295
0.58,0.978,0.574,0.574,0.404,0.027169149868536368,0.21476084890719035,-0.187591699038654,1.0028396490335072,489,287
0.59,0.976,0.564,0.564,0.41200000000000003,0.027224824355971896,0.21179883945841396,-0.18457401510244206,0.993245809081603,488,282
0.6,0.976,0.558,0.558,0.4179999999999999,0.028103044496487116,0.2130987292277615,-0.18499568473127437,0.9991708675028244,488,279
0.61,0.974,0.554,0.554,0.41999999999999993,0.028747433264887063,0.21496553987528716,-0.18621810661040009,1.0021184886517664,487,277
0.62,0.974,0.548,0.548,0.42599999999999993,0.029627456732179522,0.22295952222959523,-0.19333206549741572,1.0323654696531255,487,274
0.63,0.97,0.546,0.546,0.42399999999999993,0.028571428571428574,0.22144522144522144,-0.19287379287379286,1.0337861178197478,485,273
0.64,0.97,0.542,0.542,0.42799999999999994,0.0288659793814433,0.22039584032203957,-0.19152986094059626,1.0273965278603787,485,271
0.65,0.97,0.528,0.528,0.44199999999999995,0.029160530191458027,0.21453168044077137,-0.18537115024931333,1.0076779434896908,485,264
0.66,0.97,0.526,0.526,0.44399999999999995,0.029160530191458027,0.21638437608019356,-0.18722384588873553,1.0185401640591758,485,263
0.67,0.97,0.52,0.52,0.44999999999999996,0.029455081001472753,0.21853146853146851,-0.18907638752999575,1.0240306531557888,485,260
0.68,0.97,0.512,0.512,0.45799999999999996,0.030044182621502206,0.21768465909090912,-0.1876404764694069,1.0242006854696248,485,256
0.69,0.97,0.512,0.512,0.45799999999999996,0.030633284241531666,0.21768465909090912,-0.18705137484937745,1.0205022914276811,485,256
0.7,0.97,0.504,0.504,0.46599999999999997,0.03181148748159057,0.21608946608946608,-0.1842779786078755,1.0127202407299312,485,252
0.71,0.97,0.498,0.498,0.472,0.03181148748159057,0.2212486308871851,-0.18943714340559453,1.0364904666001968,485,249
0.72,0.968,0.49,0.49,0.478,0.031582054309327035,0.21855287569573284,-0.1869708213864058,1.0235966203713356,484,245
0.73,0.968,0.478,0.478,0.49,0.03217237308146399,0.22441993153290224,-0.19224755845143826,1.050775759038911,484,239
0.74,0.968,0.476,0.476,0.492,0.03217237308146399,0.22803666921313978,-0.19586429613167577,1.068344650958009,484,238
0.75,0.968,0.472,0.472,0.496,0.032467532467532464,0.23459167950693371,-0.20212414703940124,1.10145734638482,484,236
0.76,0.968,0.468,0.468,0.49999999999999994,0.03305785123966942,0.2338772338772339,-0.20081938263756446,1.097243689661211,484,234
0.77,0.968,0.466,0.466,0.502,0.033353010625737894,0.23449083105735466,-0.20113782043161677,1.101859726508749,484,233
0.78,0.966,0.466,0.466,0.49999999999999994,0.03430937592428275,0.23527116660163871,-0.20096179067735598,1.0907306691501384,483,233
0.79,0.964,0.464,0.464,0.49999999999999994,0.03586247777119146,0.2335423197492163,-0.19767984197802485,1.0649031941482456,482,232
0.8,0.96,0.462,0.462,0.49799999999999994,0.03601190476190476,0.2377016922471468,-0.20168978748524202,1.0861357119630048,480,231
0.81,0.96,0.454,0.454,0.506,0.03601190476190476,0.23548257909491388,-0.19947067433300913,1.0799133709545725,480,227
0.82,0.96,0.45,0.45,0.51,0.036309523809523805,0.23353535353535354,-0.19722582972582975,1.0696488939207922,480,225
0.83,0.96,0.448,0.448,0.512,0.036309523809523805,0.2333603896103896,-0.19705086580086578,1.0679740836724727,480,224
0.84,0.96,0.446,0.446,0.514,0.037202380952380945,0.23318385650224216,-0.19598147554986123,1.0598929141759421,480,223
0.85,0.958,0.444,0.444,0.514,0.03578884580972264,0.2379197379197379,-0.20213089211001525,1.095741807292611,479,222
0.86,0.956,0.442,0.442,0.514,0.03586371787208608,0.23570547099958863,-0.19984175312750255,1.0892364241729537,478,221
0.87,0.954,0.438,0.438,0.516,0.03593890386343215,0.2328767123287671,-0.19693780846533496,1.0780771316397033,477,219
0.88,0.952,0.43,0.43,0.522,0.03601440576230493,0.2295983086680761,-0.19358390290577115,1.069608195107375,476,215
0.89,0.95,0.43,0.43,0.52,0.035789473684210524,0.2295983086680761,-0.19380883498386559,1.071314602411116,475,215
0.9,0.95,0.424,0.424,0.526,0.035789473684210524,0.22512864493996573,-0.18933917125575522,1.0537892944816287,475,212
0.91,0.95,0.42,0.42,0.53,0.03669172932330827,0.23030303030303031,-0.19361130097972204,1.0680680934300049,475,210
0.92,0.948,0.414,0.414,0.534,0.03646775165762507,0.23056653491436102,-0.19409878325673596,1.0800488628597056,474,207
0.93,0.948,0.412,0.412,0.536,0.03707052441229656,0.22859664607237423,-0.19152612166007768,1.0732081548335548,474,206
0.94,0.948,0.41,0.41,0.538,0.03707052441229656,0.2328159645232816,-0.19574544011098505,1.0987719953000725,474,205
0.95,0.948,0.406,0.406,0.5419999999999999,0.03737191078963231,0.2315270935960591,-0.1941551828064268,1.0982064844220276,474,203
0.96,0.948,0.396,0.396,0.5519999999999999,0.03737191078963231,0.22268135904499542,-0.1853094482553631,1.0639077093144358,474,198
0.97,0.948,0.392,0.392,0.5559999999999999,0.0379746835443038,0.22309833024118741,-0.1851236466968836,1.0625663915573516,474,196
0.98,0.948,0.39,0.39,0.5579999999999999,0.0379746835443038,0.2275058275058275,-0.1895311439615237,1.0852461382732803,474,195
0.99,0.946,0.388,0.388,0.5579999999999999,0.03775294472968891,0.22867853795688844,-0.19092559322719954,1.0943877227043544,473,194
